text,sentiment,split
"After all these years, I am puzzled as to why Julie Brown (West Coast) isn't a household name or a hugely famous comedic star. She is one of the funniest females on the planet. In this spoof, she takes on Madonna who is one of her favorite targets. She is Medusa, a hugely successful singer, like Madonna who also happened to have documentary ""Truth or Dare."" Julie Brown spoofs Madonna as Medusa who came from Wisconsin, the land of dairy and beer. I remember the segment where she went to Wisconsin to visit her family and a grave. I don't remember if it was a parent or her pet. I remember somebody saying that Medusa did nothing original. She was just copying others. I have to say that I hope this spoof documentary is available on DVD somewhere. Julie Brown was at her best mocking and spoofing others.",1,test
"This is a film about passion. The passion it depicts is largely misdirected, even for the leading man. But therein lies the incredible power of this film: it shows us that what we believe can be contaminated by nonsense, and can even lead us to do things that are destructive -- to ourselves or others. Moreover, those who try to escape from acquiring passion (watch the druggie who visits the studio) also risk self-destruction.<br /><br />The world needs to hear the message of this movie more often.",1,test
"""Dead Man Walking"" is a film not about the death penalty, but about the people involved in a death penalty case -- the killer, the families whose kids were killed, the nun who becomes his spiritual advisor, and what happens. It tells the story with little fanfare but a lot of compassion and sensitivity. I have it on DVD, and every time I watch it (not often, it's never an easy film to watch) I'm more impressed by what Tim Robbins and the entire cast did here. So revealing that it could be a documentary, so compelling you can't take your eyes away, so subtle and yet so powerful... ""Dead Man Walking"" is nothing short of a masterpiece. It doesn't matter whether you're for or against the death penalty (or even have no opinion), this movie will have you thinking about the issues for sure. It takes a courageous screenwriter and director to look this material in the face without flinching even once, and everyone involved in the film pulls it off -- there isn't a single scene that rings false. A masterful film, but don't expect light viewing... to some, the final scenes could be more graphic than anything imaginable, even though no blood or violence is shown. You get drawn into this film and become a participant, and there's a character for just about everyone to identify with. 10/10.",1,test
"AALCC informs us that 14-year-olds can be pretty obnoxious and vicious. To those who don't know that, the film performs a public service. Otherwise, it's a lot of flashy videography with little or no reason for being. I will allow that the camera-work is sometimes striking, but also that it can be madly self-indulgent at other times. The actors occupy screen space and screen time, but do not compute as compelling human beings. I suppose the e-mail that flashes across the screen throughout means that you have to figure out which character has which moniker, but I simply couldn't tell enough differences to do so, and really didn't care anyway.",0,test
"So I rented this movie hoping to learn about the Democratic Republic of Congo (DRC) and the beginnings of its independence from Belgian rule. I was excited to become familiar with the figures involved in its history, mainly Lumumba and Mobutu. I wanted to see how the new Congolese government attempted to bring together the various groups opposing colonial rule, the political motives behind each one, the reasons behind Belgium's decision to give the DRC its independence, and also how the United States and the former USSR were involved. Sadly, all of my questions went largely unanswered. My belief is that this movie was made by people who, through a passing familiarity with the story of the DRC's fight for freedom, saw a story filled with drama and emotion, and decided to exploit it. They then proceeded to try and stuff all the dramatic points into a storyline, briefly filled them out with dialogue, went to the set and shot it. I could be wrong, but if so it's all the sadder, because then the makers must have simply become too tied up in getting everything in, and ended up glossing over all details in an effort to create an encompassing history. Whatever the reason, the fact is that the movie could be a timeline of sentence-long statements and facts printed on the screen. The film goes through each major occurrence, and tells the viewer point-blank the main idea of what's going on, completely smoothing over the actual details in favor of getting across the big things. For instance, there is the scene when Lumumba is captured by the increasingly rebellious army controlled by Mobutu. In the situation the soldiers have three possible viewpoints: one that sympathizes with Lumumba, one that vilifies Lumumba, and one that stands in the middle, sympathizing and yet obeying orders. Correspondingly, there are three soldiers that speak in the scene, uttering lines that unadornedly show their points of view. Then, to avoid dealing with the actual tensions that these opposing viewpoints bring up, the scriptwriters simply inserted some random shooting, more army guys show up and they just end up beating everyone up. This is the extent of the reflectiveness of the movie. Most of the time, each character simply states their basic motives, the other characters respond with theirs, and that's that. There's little telling through actions; even the things they say are direct the point of painfulness. It's hard to believe that the people represented actually acted like that. Also, in the trend of this directness, things like political tension between factions is reduced to simple acknowledgement of the fact-- we never learn what these factions are, what they're fighting for, their power, basically anything except that they exist. The characters likewise are one-dimensional and flat; unfortunately I don't know whether Lumumba was actually a freedom fighter passionately devoted to ideals of Congolese unity, but after an hour or so of the movie I certainly didn't trust it to tell me so. The DRC, like many developing countries, has a complicated and important history, especially in the period leading up to and after independence. But the telling of these histories will not be useful unless there is recognition of the intricacy of the situations. Lumumba fails to give proper attention to these details, and ends up telling the viewer little except the most general of outlines.",0,test
"I seem to be disagreeing with a lot of folks here. but I really did not find this movie as scintillating as the reviews I read claimed. It was no doubt a touching story and the partition background provided the scope for an epic. but, the movie was a let down. specially for neone who has seen 'gadar'. inspite of the lead being played by sunny deol and the incessant songs, I must say gadar is the better of the two. the story being virtually the same. partition failed to create any depth in its characters as well as the scenes that were supposed to hav an impact. over looking kristin kruek's accent and the smallvile image, which in itself wasn't an easy job. the characters just did not seem too real. not that I am criticizing the acting by any of the lead. it just did not work. the atmosphere was well drawn up, but the movie really lacked in substance. not that I am die hard rambo fan, but some action cud have seen the movie through, or some character development. it all seemed like a rush to the finish. and the ending only added to the viewers dissatisfaction.<br /><br />nonetheles, I must say that it was at least a good effort in seemingly unfamiliar territory by the director. and if U haven't seen gadar, then u mite even like it.",0,test
"As a child I always hated being forced to sit through musicals. I never understood why people would break out into song like that, and I was far too young to appreciate the artistry (choreography, set design, costumes, pacing) behind it all. Carol Reed's ""Oliver!"" was the one musical I remember oddly enjoying as a child, probably because it is one of the darker ones and is appropriately drenched in the spirit of Dickensian squalor. This is a musical about ghetto life in Victorian London, and while the scenery and set designs are stark, dark, and true to that way of life, it is flat out bizarre for people to be breaking out into such ridiculous songs amidst their misery. Upon a recent viewing, my first since childhood, I have some new thoughts and insights into why this musical ""works"" in that bizarre breaking out into song kind of way, and why most just don't do it for me.<br /><br />When musicals work or really say something, it is because they realize their own inherent strangeness. Lars von Trier's ""Dancer in the Dark"" as tragic and operatic and over reaching as it was, worked as a musical because the musical numbers were the products of the imagination of the protagonist, an immigrant obsessed with Hollywood musicals. Likewise, the very cynical and enjoyable ""Chicago"" worked on a similar level because the musical numbers were the products of a homicidal ingenue singer/dancer. Musicals don't work when they take their own musical-nature too seriously (like in ""Moulin Rouge"") or are simply too much fluff about nothing (i.e. something pointless like ""Mary Poppins""). Upon viewing ""Oliver!"" for the first time as an adult, I saw it in a new light. Told mostly from the point of view young Oliver, I saw the musical numbers as the products of his childhood imagination and his way of coping with the horrors of ghetto life around him. The best musical number was probably when Nancy got everyone in the tavern signing and dancing about the joys of getting drunk (as a cover to help poor Oliver escape the clutches of the evil Bill Sykes). It was undeniably catchy and sounded like a real pub tune that drunks might start singing around a piano. There are other great and classic tunes to be heard here, and the direction and acting from the leads to the dancing extras are all top notch.<br /><br />Still, for all its bleakness (although it does have a happy ending for Oliver at least, though certainly things didn't end happily for Nancy, and unless you think a life on the streets being a pick-pocket is fun, it wasn't a necessarily a good ending for Fagin or the Dodger, despite their peppy closing tune) I wouldn't really classify this as a family film, though I don't think showing it to kids over the age of seven or eight will do any harm. This is a harsh tale about an unfortunate orphan trying to survive on the streets and find some happiness. I think it would be very interesting to see a modern update on this some how, perhaps a revisionist take on it, where people on the streets of Compton break into happy songs about their horrible lives. I'd like to see a hard-edged hip-hop version of ""Oliver!"". I always thought Dickens would translate well in those regards. As it stands, ""Oliver!"" was probably the last of the great film musicals and maybe the strangest G-rated film I've ever seen.",1,train
"Wow. The only people reviewing this positively are the Carpenter apologists. I know a lot of those. The guys that'll watch John Carpenter squat on celluloid and pinch out a movie and proclaim it a masterwork of horror. This ""movie"" is utter crap. It looks and sounds like a porno (good lord, the soundtrack is awful...), and has sub-par porn acting, which is shocking, because normally Ron Perlman is really a very good actor. I honestly have no idea what Carpenter was thinking when making this. Most likely ""Beans, beans, beans.."" until somebody fed him and rolled him up into a blanket for the day... They say nothing about the abortion debate whatsoever, when they could have had a very interesting central theme (how do religious zealot anti-abortionists feel when it's the devil's baby?) but instead they chose to have Ron Perlman and his terribly acted kids kill a bunch of people and have the horribly cast doctors try to calm the hysterically bad pregnant girl. Not a single person from this episode or what have you should come away unscathed. It's just awful. Like, Plan 9 From Outerspace awful. Like, good god please would somebody turn it off before I soil myself awful. Try watching this and The Thing in the same day and your mind will implode.",0,train
"This is the slowest ""film noir"" film I've ever seen. Very weak script only provides opportunity for Jack Palance and Rod Steiger to deliver exceptionally well, lines that were made for an acting audition. Palance and Steiger both affirm they are indeed serious actors who can portray their respective roles with power, emotion and drama. The story itself moves at an incredibly slow pace, mostly taking place in a living room. The director obviously moved the actors around in a rythmatic circles as they delivered exhaustingly long lines, to keep the slow pace from becoming noticeable to the audience. The action doesn't pick up until the last ten minutes of the film. If you're one who's looking for more depth in a crime drama, this one's not for you!",0,test
"""Fever Pitch"" is a sweet and charming addition to the small genre of sports romances as date movies or movies a son could be willing to go to with his mother (though the guys in the audience got noticeably restless during the romantic scenes).<br /><br />I have lived through a milder version of such a story, as my first exposure to baseball was dating my husband the spring after the Mets first World Series win and then I watched the Mets clinch their next one because I was the one still up in the wee hours with our two little sons, who have grown up to teach me more about baseball through our local neighborhood National League team's other heartbreaking failures to win it again (and it was me who took our older son to his only Fenway Park game as I caught a bit of Red Sox fever as a graduate student in Boston).<br /><br />So compared to reality, the script believably creates two people with actual jobs. It is particularly impressive that Drew Barrymore's character is a substantive workaholic who has anti-Barbie skills, though she pretty much only visits with her three bland girlfriends during gym workouts that allow for much jiggling and the minor side stories with her parents don't completely work.<br /><br />It is even set up credibly how she meets Jimmy Fallon's math teacher and how she falls for his ""winter guy"" -- though it's surprising that his Red Sox paraphernalia filled apartment didn't tip her off to his Jekyll-and-Hyde ""summer guy."" Their relationship crisis during the baseball season is also played out in a refreshingly grown-up way, from efforts at compromise to her frank challenges to him, centered around that they are both facing thirty and single. Fallon surprisingly rises to his character's gradual emotional maturity.<br /><br />While the ending borrows heavily from O. Henry, the script writers did a yeoman job of quickly incorporating the Sox's incredible 2004 season into a revised story line (with lots of cooperation from the Red Sox organization for filming at the stadium).<br /><br />The script goes out of its way to explain why Fallon doesn't have a Boston accent, as an immigrant from New Jersey, but that doesn't explain why his motley friends don't. The most authentic sounding Boston sounds come from most of his ""summer family"" of other season ticket holders, who kindly kibitz the basics of Sox lore to neophyte Barrymore (and any such audience members).<br /><br />The song selection includes many Red Sox fans' favorites, from the opening notes of the classic ""Dirty Water,"" though most are held to be heard over the closing credits as if you are listening to local radio and are worth sitting through to hear.",1,train
